section,n_glyphs,status,connective,n_slots,period,Pi_robust,slot_cv,z_A,p_A,z_B,p_B,Pi_aug,p_B_aug,result
Da:w02,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Db:w00,104,evaluable,006,6,13.55,0.3891,1.0444,-0.82,0.7932,-0.76,0.7722,0.3891,0.7463,null
Db:w01,104,evaluable,006,8,13.65,0.4344,0.9973,-0.06,0.4835,0.22,0.4046,0.4344,0.3746,null
Er:w00,104,evaluable,300,8,13.35,0.3971,0.729,-1.35,0.9151,-1.36,0.9261,0.4543,0.979,null
Er:w01,104,evaluable,300,6,12.9,0.5932,0.6391,-0.49,0.6673,-0.44,0.6713,0.5932,0.5175,null
Er:w02,104,evaluable,022,6,13.4,0.6255,0.6718,0.18,0.3986,0.14,0.4356,0.6255,0.4426,null
Er:w03,104,evaluable,005,6,14.5,0.146,0.2722,-2.56,1.0,-2.79,1.0,0.146,0.999,null
Er:w04,104,evaluable,300,6,12.9,0.5002,1.0384,-1.45,0.9351,-1.84,0.954,0.3793,0.999,null
Er:w05,104,evaluable,022,7,11.8,0.7264,0.9451,1.29,0.1129,0.62,0.3017,0.7264,0.2897,null
Er:w06,104,evaluable,022,8,13.4,0.6692,0.9413,0.49,0.3097,0.53,0.2927,0.6692,0.2637,null
Er:w07,104,evaluable,004,6,11.9,0.5908,0.9515,0.61,0.2797,0.62,0.2687,0.5908,0.3417,null
Ev:w00,104,evaluable,001,8,13.7,0.5047,0.9052,0.47,0.3227,0.84,0.2048,0.3068,0.6733,null
Ev:w01,104,evaluable,001,11,14.45,0.2709,0.4355,-1.95,0.986,-1.44,0.9431,0.3852,0.5325,null
Ev:w02,104,evaluable,380,10,11.7,0.2678,0.2917,-1.46,0.9491,-1.05,0.8581,0.2678,0.8302,null
Ev:w03,104,evaluable,001,22,11.6,0.1862,0.7132,-2.2,0.994,-1.67,0.973,0.1936,0.97,null
Ev:w04,104,evaluable,001,10,12.75,0.3466,1.1961,-0.44,0.6563,-0.0,0.4855,0.2822,0.6084,null
Ev:w05,104,evaluable,092,7,14.5,0.5055,0.6446,0.26,0.3866,-0.36,0.6454,0.6192,0.4595,null
Ev:w06,104,evaluable,092,7,14.5,0.5055,0.6446,-0.67,0.7273,-1.1,0.8611,0.5055,0.8601,null
Ev:w07,104,evaluable,092,7,14.5,0.5055,0.6446,-0.53,0.7063,-0.95,0.8172,0.5055,0.8362,null
Fa:w00,51,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Fb:w00,30,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Gr:w00,104,evaluable,001,7,11.65,0.3566,1.2343,-1.66,0.961,-1.59,0.9471,0.4262,0.9051,null
Gr:w01,104,evaluable,003,11,11.5,0.1948,0.4236,-3.06,1.0,-2.38,0.998,0.1948,0.995,null
Gr:w02,104,evaluable,380,14,14.5,0.1566,0.2973,-2.78,1.0,-2.15,1.0,0.1566,1.0,null
Gr:w03,104,evaluable,003,16,13.95,0.1973,0.3889,-2.23,0.996,-1.68,0.972,0.1973,0.972,null
Gr:w04,104,evaluable,001,18,11.5,0.2646,0.542,-1.97,0.988,-1.39,0.9431,0.2646,0.9261,null
Gr:w05,104,evaluable,001,7,11.5,0.3181,0.9114,-3.02,0.999,-2.59,0.999,0.3181,1.0,null
Gv:w00,104,evaluable,076,15,11.5,0.2646,0.3529,-0.62,0.7193,0.11,0.4176,0.1906,0.7772,null
Gv:w01,104,evaluable,076,14,11.5,0.2795,0.3532,-0.55,0.6943,0.05,0.4436,0.2795,0.4146,null
